,RegionName,InventoryRaw_AllHomes
3746483,aptossanta_cruzca,46.0
3746484,arabisaint_bernardla,25.0
3746485,arabmarshallal,106.0
3746486,aragonpolkga,16.0
3746487,aransas_passsan_patriciotx,58.0
3746494,arcadiade_sotofl,108.0
3746497,arcadialos_angelesca,159.0
3746498,arcadiamanisteemi,10.0
3746504,archbaldlackawannapa,32.0
3746505,archboldfultonoh,15.0
3746511,arden_arcadesacramentoca,106.0
3746513,ardenbuncombenc,93.0
3746514,ardmorecarterok,173.0
3746515,ardmoredelawarepa,22.0
3746516,ardmoregilestn,12.0
3746517,ardmorelimestoneal,26.0
3746519,ardsleywestchesterny,24.0
3746520,arenaiowawi,16.0
3746523,argosaint_clairal,20.0
3746526,argylelafayettewi,8.0
3746527,arkadelphiaclarkar,80.0
3746533,arlington_heightscookil,266.0
3746534,arlington_heightsmonroepa,24.0
3746535,arlingtonarlingtonva,566.0
3746540,arlingtonshelbytn,58.0
3746542,arlingtonsnohomishwa,74.0
3746543,arlingtontarranttx,456.0
3746550,arnoldanne_arundelmd,94.0
3746551,arnoldcalaverasca,68.0
3746552,arnoldjeffersonmo,164.0
3746556,arnoldwestmorelandpa,25.0
3746562,arroyo_grandesan_luis_obispoca,68.0
3746566,arundelyorkme,18.0
3746567,arvadajeffersonco,154.0
3746570,asbury_parkmonmouthnj,56.0
3746571,asburydubuqueia,30.0
3746572,ash_forkyavapaiaz,13.0
3746574,ashawaywashingtonri,10.0
3746575,ashbrunswicknc,30.0
3746578,ashburnturnerga,26.0
3746579,ashbymiddlesexma,4.0
3746580,ashebororandolphnc,152.0
3746583,ashevillebuncombenc,430.0
3746586,ashfordhoustonal,17.0
3746588,ashfordwindhamct,32.0
3746591,ashlandashlandwi,70.0
3746592,ashlandboonemo,48.0
3746593,ashlandboydky,112.0
3746596,ashlandhanoverva,60.0
3746597,ashlandjacksonor,138.0
3746598,ashlandmiddlesexma,38.0
3746604,ashtabulaashtabulaoh,89.0
3746608,ashvillesaint_clairal,34.0
3746609,ashwaubenonbrownwi,46.0
3746611,aspenpitkinco,279.0
3746614,astatulalakefl,6.0
3746615,astondelawarepa,52.0
3746616,astoriaclatsopor,66.0
3746617,astorlakefl,18.0
3746618,atascaderosan_luis_obispoca,73.0
3746619,atascocitaharristx,356.0
3746626,athensclarkega,314.0
3746627,athensgreeneny,50.0
3746628,athenshendersontx,109.0
3746629,athenslimestoneal,340.0
3746632,athensmenardil,12.0
3746634,atholkootenaiid,54.0
3746639,atkinspopear,24.0
3746641,atlantacasstx,67.0
3746642,atlantafultonga,2223.0
3746644,atlantaloganil,8.0
3746646,atlantic_beachcarteretnc,153.0
3746647,atlantic_beachduvalfl,80.0
3746648,atlantic_beachnassauny,26.0
3746649,atlantic_cityatlanticnj,342.0
3746650,atlantic_highlandsmonmouthnj,25.0
3746654,atmoreescambiaal,60.0
3746655,atokatiptontn,38.0
3746656,attallaetowahal,30.0
3746657,atticafountainin,20.0
3746658,atticalapeermi,44.0
3746660,attleborobristolma,72.0
3746662,atwatermercedca,56.0
3746668,auberryfresnoca,28.0
3746670,auburn_hillsoaklandmi,48.0
3746671,auburnandroscogginme,102.0
3746672,auburnbarrowga,56.0
3746674,auburncayugany,92.0
3746675,auburndalepolkfl,100.0
3746678,auburnkingwa,137.0
3746679,auburnleeal,281.0
3746680,auburnloganky,5.0
3746682,auburnplacerca,106.0
3746686,auburnworcesterma,30.0
3746690,auduboncamdennj,34.0
3746691,audubonmontgomerypa,10.0
3746692,augusta_townshipwashtenawmi,7.0
3746693,augustabutlerks,36.0
3746697,augustakennebecme,108.0
3746699,augustasaint_charlesmo,10.0
3746700,augustatattnallga,598.0
3746703,aumsvillemarionor,17.0
3746705,auroraarapahoeco,354.0
3746706,auroradearbornin,56.0
3746708,aurorakaneil,300.0
3746709,auroralawrencemo,68.0
3746710,auroramarionor,6.0
3746711,auroraportageoh,104.0
3746713,austellcobbga,101.0
3746716,austinlonokear,72.0
3746719,austintownmahoningoh,160.0
3746720,austintravistx,2004.0
3746721,austinvillecarrollva,10.0
3746726,avalonalleghenypa,14.0
3746727,avaloncape_maynj,144.0
3746730,aventuramiami_dadefl,1456.0
3746732,averill_parkrensselaerny,24.0
3746743,avon_lakelorainoh,123.0
3746744,avon_parkhighlandsfl,88.0
3746747,avondalemaricopaaz,191.0
3746751,avonhartfordct,146.0
3746752,avonhendricksin,183.0
3746758,awendawcharlestonsc,21.0
3746760,axtonhenryva,16.0
3746761,aydenpittnc,14.0
3746762,aylettking_williamva,60.0
3746764,azletarranttx,105.0
3746765,aztecsan_juannm,112.0
3746766,azusalos_angelesca,40.0
3746768,babylonsuffolkny,54.0
3746769,back_mountainluzernepa,58.0
3746771,bacliffgalvestontx,22.0
3746772,bad_axehuronmi,36.0
3746773,badenbeaverpa,10.0
3746776,baileynashnc,17.0
3746780,bainbridge_islandkitsapwa,60.0
3746783,bainbridgerossoh,14.0
3746785,baker_citybakeror,44.0
3746787,bakerokaloosafl,16.0
3746788,bakersfieldkernca,590.0
3746789,bakersvillemitchellnc,130.0
3746790,bal_harbourmiami_dadefl,256.0
3746791,balch_springsdallastx,26.0
3746793,bald_head_islandbrunswicknc,108.0
3746794,bald_knobwhitear,17.0
3746795,baldwin_citydouglasks,23.0
3746796,baldwin_parklos_angelesca,38.0
3746799,baldwinbanksga,12.0
3746802,baldwinnassauny,93.0
3746803,baldwinsaint_croixwi,30.0
3746811,ballstonsaratogany,70.0
3746812,ballwinsaint_louismo,55.0
3746816,baltimorebaltimore_citymd,2680.0
3746820,banderabanderatx,84.0
3746821,bandoncoosor,76.0
3746825,bangornorthamptonpa,18.0
3746826,bangorpenobscotme,124.0
3746827,bangorvan_burenmi,13.0
3746830,banner_elkaverync,258.0
3746832,banningriversideca,80.0
3746833,bannockburnlakeil,23.0
3746834,bar_harborhancockme,40.0
3746836,baraboosaukwi,54.0
3746839,barbertonclarkwa,72.0
3746840,barbertonsummitoh,76.0
3746843,barboursvillegreeneva,38.0
3746845,bardstownnelsonky,114.0
3746846,bargersvillejohnsonin,39.0
3746849,barkhamstedlitchfieldct,10.0
3746856,barnesvillelamarga,22.0
3746858,barnettmorganmo,13.0
3746860,barnhartjeffersonmo,68.0
3746861,barnstablebarnstablema,351.0
3746862,barnsteadbelknapnh,28.0
3746869,barrewashingtonvt,60.0
3746870,barrington_hillscookil,104.0
3746871,barringtonbristolri,69.0
3746872,barringtoncamdennj,42.0
3746873,barringtoncookil,78.0
3746875,barronbarronwi,19.0
3746876,barrytonmecostami,29.0
3746877,barstowsan_bernardinoca,112.0
3746880,bartlesvillewashingtonok,240.0
3746882,bartlettdu_pageil,114.0
3746883,bartlettshelbytn,97.0
3746887,bartonvillepeoriail,31.0
3746890,basalteagleco,70.0
3746891,basehorleavenworthks,46.0
3746895,bass_river_townshipburlingtonnj,14.0
3746896,bassetthenryva,66.0
3746898,bastropbastroptx,128.0
3746899,bastropmorehousela,74.0
3746901,bataviaclermontoh,81.0
3746902,bataviakaneil,70.0
3746903,batesburg_leesvillelexingtonsc,15.0
3746905,batesvillepanolams,48.0
3746906,batesvilleripleyin,34.0
3746907,bath_springsdecaturtn,26.0
3746908,bath_townshipclintonmi,32.0
3746909,bathbeaufortnc,39.0
3746911,bathsagadahocme,39.0
3746913,battle_creekcalhounmi,144.0
3746914,battle_groundclarkwa,108.0
3746920,baxter_springscherokeeks,46.0
3746921,baxtercrow_wingmn,50.0
3746923,baxterputnamtn,37.0
3746924,bay_citybaymi,100.0
3746925,bay_citymatagordatx,126.0
3746927,bay_harbor_islandsmiami_dadefl,215.0
3746928,bay_headoceannj,24.0
3746929,bay_hillorangefl,46.0
3746930,bay_minettebaldwinal,56.0
3746932,bay_saint_louishancockms,216.0
3746938,bayfieldla_plataco,92.0
3746939,bayonnehudsonnj,104.0
3746941,bayou_vistagalvestontx,16.0
3746943,baytownharristx,132.0
3746944,bayvillenassauny,36.0
3746949,beach_parklakeil,40.0
3746950,beachwoodcuyahogaoh,56.0
3746951,beachwoodoceannj,54.0
3746952,beacon_fallsnew_havenct,50.0
3746953,beacondutchessny,47.0
3746954,bealetonfauquierva,40.0
